id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
1,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2
2,V_1-2,V_2-2,V_3-2,V_4-2,V_5-2,V_6-2,V_7-2,V_8-2,V_9-2,V_10-2,,,,,
3,V_1-3,V_2-3,V_3-3,V_4-3,V_5-3,V_6-3,V_7-3,V_8-3,V_9-3,V_10-3,,,,,
4,V_1-4,V_2-4,V_3-4,V_4-4,V_5-4,V_6-4,V_7-4,V_8-4,V_9-4,V_10-4,,,,,
5,V_1-5,V_2-5,V_3-5,V_4-5,V_5-5,V_6-5,V_7-5,V_8-5,V_9-5,V_10-5,,,,,
6,V_1-6,V_2-6,V_3-6,V_4-6,V_5-6,V_6-6,V_7-6,V_8-6,V_9-6,V_10-6,,,,,
7,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8
8,V_1-8,V_2-8,V_3-8,V_4-8,V_5-8,V_6-8,V_7-8,V_8-8,V_9-8,V_10-8,,,,,
9,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16
10,V_1-10,V_2-10,V_3-10,V_4-10,V_5-10,V_6-10,V_7-10,V_8-10,V_9-10,V_10-10,,,,,
11,V_1-11,V_2-11,V_3-11,V_4-11,V_5-11,V_6-11,V_7-11,V_8-11,V_9-11,V_10-11,,,,,
12,V_1-12,V_2-12,V_3-12,V_4-12,V_5-12,V_6-12,V_7-12,V_8-12,V_9-12,V_10-12,,,,,
13,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8
14,V_1-14,V_2-14,V_3-14,V_4-14,V_5-14,V_6-14,V_7-14,V_8-14,V_9-14,V_10-14,,,,,
15,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8
16,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2
17,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2
18,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16
19,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16
20,V_1-20,V_2-20,V_3-20,V_4-20,V_5-20,V_6-20,V_7-20,V_8-20,V_9-20,V_10-20,,,,,
