id,p1,p2
1,V_1-1,V_2-1
2,V_1-2,V_2-2
3,V_1-3,V_2-3
4,V_1-4,V_2-4
5,V_1-5,V_2-5
6,V_1-6,V_2-6
7,V_1-7,V_2-7
8,V_1-8,V_2-8
9,V_1-9,V_2-9
10,V_1-10,V_2-10
11,V_1-11,V_2-11
12,V_1-12,V_2-12
13,V_1-13,V_2-13
14,V_1-14,V_2-14
15,V_1-15,V_2-15
16,V_1-16,V_2-16
17,V_1-17,V_2-17
18,V_1-18,V_2-18
19,V_1-19,V_2-19
20,V_1-20,V_2-20
21,V_1-21,V_2-21
22,V_1-22,V_2-22
23,V_1-23,V_2-23
24,V_1-24,V_2-24
25,V_1-25,V_2-25
26,V_1-26,V_2-26
27,V_1-27,V_2-27
28,V_1-28,V_2-28
29,V_1-29,V_2-29
30,V_1-30,V_2-30
31,V_1-31,V_2-31
32,V_1-32,V_2-32
33,V_1-33,V_2-33
34,V_1-34,V_2-34
35,V_1-35,V_2-35
36,V_1-36,V_2-36
37,V_1-37,V_2-37
38,V_1-38,V_2-38
39,V_1-39,V_2-39
40,V_1-40,V_2-40
41,V_1-41,V_2-41
42,V_1-42,V_2-42
43,V_1-43,V_2-43
44,V_1-44,V_2-44
45,V_1-45,V_2-45
46,V_1-46,V_2-46
47,V_1-47,V_2-47
48,V_1-48,V_2-48
49,V_1-49,V_2-49
50,V_1-50,V_2-50
51,V_1-51,V_2-51
52,V_1-52,V_2-52
53,V_1-53,V_2-53
54,V_1-54,V_2-54
55,V_1-55,V_2-55
56,V_1-56,V_2-56
57,V_1-57,V_2-57
58,V_1-58,V_2-58
59,V_1-59,V_2-59
60,V_1-60,V_2-60
61,V_1-61,V_2-61
62,V_1-62,V_2-62
63,V_1-63,V_2-63
64,V_1-64,V_2-64
65,V_1-65,V_2-65
66,V_1-66,V_2-66
67,V_1-67,V_2-67
68,V_1-68,V_2-68
69,V_1-69,V_2-69
70,V_1-70,V_2-70
71,V_1-71,V_2-71
