id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
21,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9
22,V_1-12,V_2-12,V_3-12,V_4-12,V_5-12,V_6-12,V_7-12,V_8-12,V_9-12,V_10-12,,,,,
23,V_1-13,V_2-13,V_3-13,V_4-13,V_5-13,V_6-13,V_7-13,V_8-13,V_9-13,V_10-13,,,,,
24,V_1-14,V_2-14,V_3-14,V_4-14,V_5-14,V_6-14,V_7-14,V_8-14,V_9-14,V_10-14,,,,,
25,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2
26,V_1-16,V_2-16,V_3-16,V_4-16,V_5-16,V_6-16,V_7-16,V_8-16,V_9-16,V_10-16,,,,,
27,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14
28,V_1-18,V_2-18,V_3-18,V_4-18,V_5-18,V_6-18,V_7-18,V_8-18,V_9-18,V_10-18,,,,,
29,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20
30,V_1-20,V_2-20,V_3-20,V_4-20,V_5-20,V_6-20,V_7-20,V_8-20,V_9-20,V_10-20,,,,,
31,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7
32,V_1-22,V_2-22,V_3-22,V_4-22,V_5-22,V_6-22,V_7-22,V_8-22,V_9-22,V_10-22,,,,,
33,V_1-23,V_2-23,V_3-23,V_4-23,V_5-23,V_6-23,V_7-23,V_8-23,V_9-23,V_10-23,,,,,
34,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8
35,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5
36,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6
37,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13
38,V_1-28,V_2-28,V_3-28,V_4-28,V_5-28,V_6-28,V_7-28,V_8-28,V_9-28,V_10-28,,,,,
39,V_1-29,V_2-29,V_3-29,V_4-29,V_5-29,V_6-29,V_7-29,V_8-29,V_9-29,V_10-29,,,,,
40,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16
